"word","speaker","segment","duration","group","u","speakerID","sessionID"
"cupim","Q2","im",0.169334527866909,"im","sem_u","Q","2"
"cupim","I2","im",0.18268297037892,"im","sem_u","I","2"
"cupim","D2","im",0.156224450399691,"im","sem_u","D","2"
"cupim","I1","im",0.165139303077385,"im","sem_u","I","1"
"cupim","F2","im",0.145688715417009,"im","sem_u","F","2"
"cupim","B1","im",0.269257154671212,"im","sem_u","B","1"
"cupim","A2","im",0.146451483560554,"im","sem_u","A","2"
"cupim","G1","im",0.247136878508414,"im","sem_u","G","1"
"cupim","N2","im",0.18840373145548,"im","sem_u","N","2"
"cupim","O2","im",0.181157434091801,"im","sem_u","O","2"
"cupim","O1","im",0.164757919005613,"im","sem_u","O","1"
"cupim","B2","im",0.203659094326412,"im","sem_u","B","2"
"cupim","R2","im",0.160944078287883,"im","sem_u","R","2"
"cupim","P2","im",0.187068887204276,"im","sem_u","P","2"
"cupim","J1","im",0.171022630980374,"im","sem_u","J","1"
"cupim","J2","im",0.151409476493569,"im","sem_u","J","2"
"cupim","C1","im",0.284092057267301,"im","sem_u","C","1"
"cupim","P1","im",0.233025667852857,"im","sem_u","P","1"
"cupim","H1","im",0.197175565106249,"im","sem_u","H","1"
"cupim","C2","im",0.284131133470339,"im","sem_u","C","2"
"cupim","E2","im",0.117466294105867,"im","sem_u","E","2"
"cupim","R1","im",0.142256258771042,"im","sem_u","R","1"
"cupim","E1","im",0.223872450130315,"im","sem_u","E","1"
"cupim","A1","im",0.208235703187654,"im","sem_u","A","1"
"cupim","M2","im",0.209379855402972,"im","sem_u","M","2"
"cupim","G2","im",0.196031412890932,"im","sem_u","G","2"
"cupim","F1","im",0.196412796962719,"im","sem_u","F","1"
"cupim","Q1","im",0.108980498508927,"im","sem_u","Q","1"
"cupim","N1","im",0.279745216644949,"im","sem_u","N","1"
"espinho","B1","in",0.196603488998591,"inho","sem_u","B","1"
"espinho","J1","in",0.0863834922564166,"inho","com_u","J","1"
"espinho","G1","in",0.17925051373296,"inho","com_u","G","1"
"espinho","P2","in",0.229211827135146,"inho","sem_u","P","2"
"espinho","G2","in",0.198319717321567,"inho","sem_u","G","2"
"espinho","M1","in",0.142637642842828,"inho","com_u","M","1"
"espinho","Q2","in",0.100304010876073,"inho","com_u","Q","2"
"espinho","B2","in",0.101066779019675,"inho","com_u","B","2"
"espinho","H2","in",0.198319717321567,"inho","sem_u","H","2"
"espinho","O2","in",0.174673904871696,"inho","sem_u","O","2"
"espinho","H1","in",0.183636430558344,"inho","com_u","H","1"
"espinho","I1","in",0.156748853498399,"inho","com_u","I","1"
"espinho","P1","in",0.210714699654169,"inho","com_u","P","1"
"espinho","A2","in",0.18840373145548,"inho","sem_u","A","2"
"espinho","D1","in",0.117847678177625,"inho","sem_u","D","1"
"espinho","C1","in",0.285579450237307,"inho","com_u","C","1"
"espinho","M2","in",0.282224213111476,"inho","sem_u","M","2"
"espinho","E2","in",0.0930577135124224,"inho","com_u","E","2"
"espinho","D2","in",0.124331207397717,"inho","sem_u","D","2"
"espinho","F2","in",0.0905787170458723,"inho","com_u","F","2"
"espinho","F1","in",0.205947398757012,"inho","sem_u","F","1"
"espinho","Q1","in",0.166511571783133,"inho","sem_u","Q","1"
"espinho","J2","in",0.147595635775872,"inho","sem_u","J","2"
"espinho","O1","in",0.228830443063345,"inho","sem_u","O","1"
"espinho","N2","in",0.18115743409183,"inho","sem_u","N","2"
"espinho","C2","in",0.192217572173206,"inho","sem_u","C","2"
"espinho","E1","in",0.136154113622695,"inho","com_u","E","1"
"espinho","N1","in",0.184589890737769,"inho","sem_u","N","1"
"espinho","R1","in",0.132721656976749,"inho","com_u","R","1"
"espinho","R2","in",0.173911136728151,"inho","sem_u","R","2"
"espinho","I2","in",0.178869129661166,"inho","sem_u","I","2"
"golfinho","O1","in",0.173148368584606,"inho","sem_u","O","1"
"golfinho","D1","in",0.122805671110666,"inho","sem_u","D","1"
"golfinho","C1","in",0.119921058205108,"inho","com_u","C","1"
"golfinho","D2","in",0.135009961407349,"inho","sem_u","D","2"
"golfinho","R2","in",0.152403943784606,"inho","sem_u","R","2"
"golfinho","J1","in",0.108547111698556,"inho","com_u","J","1"
"golfinho","G1","in",0.0884811046511658,"inho","com_u","G","1"
"golfinho","F2","in",0.136154113622695,"inho","sem_u","F","2"
"golfinho","Q2","in",0.118419754285298,"inho","com_u","Q","2"
"golfinho","G2","in",0.0903763965884536,"inho","sem_u","G","2"
"golfinho","H1","in",0.170443701349996,"inho","com_u","H","1"
"golfinho","M2","in",0.199082485465112,"inho","sem_u","M","2"
"golfinho","P2","in",0.170097296010425,"inho","sem_u","P","2"
"golfinho","H2","in",0.155223317211295,"inho","sem_u","H","2"
"golfinho","E1","in",0.0739885099238222,"inho","com_u","E","1"
"golfinho","B2","in",0.222728297915012,"inho","sem_u","B","2"
"golfinho","I2","in",0.152553628708887,"inho","sem_u","I","2"
"golfinho","M1","in",0.0724629736367319,"inho","com_u","M","1"
"golfinho","N2","in",0.0760861223185714,"inho","com_u","N","2"
"golfinho","O2","in",0.154651241103664,"inho","sem_u","O","2"
"golfinho","J2","in",0.164757919005609,"inho","sem_u","J","2"
"golfinho","A1","in",0.14492594727345,"inho","sem_u","A","1"
"golfinho","B1","in",0.206710166900564,"inho","com_u","B","1"
"golfinho","E2","in",0.046528856756197,"inho","com_u","E","2"
"golfinho","F1","in",0.0815232786283389,"inho","com_u","F","1"
"golfinho","A2","in",0.0999226268043287,"inho","sem_u","A","2"
"golfinho","P1","in",0.265443313953483,"inho","sem_u","P","1"
"golfinho","I1","in",0.175055288943462,"inho","sem_u","I","1"
"golfinho","R1","in",0.200547736843433,"inho","sem_u","R","1"
"golfinho","N1","in",0.118982437463782,"inho","com_u","N","1"
"golfinho","C2","in",0.0623562957347588,"inho","com_u","C","2"
"golfinho","Q1","in",0.16245142950369,"inho","sem_u","Q","1"
"grupinho","R1","in",0.1319588888332,"dim","com_u","R","1"
"grupinho","F1","in",0.174864596907579,"dim","sem_u","F","1"
"grupinho","A2","in",0.157130237570172,"dim","sem_u","A","2"
"grupinho","P1","in",0.147443941424278,"dim","com_u","P","1"
"grupinho","A1","in",0.153065123578681,"dim","sem_u","A","1"
"grupinho","N1","in",0.241797501503612,"dim","sem_u","N","1"
"grupinho","N2","in",0.0896252568664835,"dim","com_u","N","2"
"grupinho","J2","in",0.0713188214214142,"dim","sem_u","J","2"
"grupinho","M2","in",0.150265324278266,"dim","com_u","M","2"
